Type,Bandwidth(MB/s),Time(sec),Size(bytes),NumDevs
H2D-Paged,5459.9,0.00064,3671040,1
H2D-Paged,5429.4,0.00074,4195328,1
H2D-Paged,5577.9,0.00081,4719616,1
H2D-Paged,5576.0,0.00090,5243904,1
H2D-Paged,5605.0,0.00098,5768192,1
H2D-Paged,5642.8,0.00106,6292480,1
H2D-Paged,5654.0,0.00115,6816768,1
H2D-Paged,5672.1,0.00123,7341056,1
H2D-Paged,5690.1,0.00132,7865344,1
H2D-Paged,5705.8,0.00140,8389632,1
H2D-Paged,5705.6,0.00149,8913920,1
H2D-Paged,5713.8,0.00158,9438208,1
H2D-Paged,5761.9,0.00165,9962496,1
H2D-Paged,5741.1,0.00174,10486784,1
H2D-Paged,5715.4,0.00184,11011072,1
H2D-Paged,5794.5,0.00190,11535360,1
H2D-Paged,5808.3,0.00198,12059648,1
H2D-Paged,5782.5,0.00208,12583936,1
H2D-Paged,5818.1,0.00215,13108224,1
H2D-Paged,5788.8,0.00225,13632512,1
H2D-Paged,5660.6,0.00239,14156800,1
H2D-Paged,5759.5,0.00243,14681088,1
H2D-Paged,5741.2,0.00253,15205376,1
H2D-Paged,5566.2,0.00270,15729664,1
H2D-Paged,5584.2,0.00278,16253952,1
H2D-Paged,5760.8,0.00278,16778240,1
H2D-Paged,5647.4,0.00292,17302528,1
H2D-Paged,5679.2,0.00299,17826816,1
H2D-Paged,5730.7,0.00305,18351104,1
H2D-Paged,5675.7,0.00317,18875392,1
H2D-Paged,5730.0,0.00323,19399680,1
H2D-Paged,5737.7,0.00331,19923968,1
H2D-Paged,5772.1,0.00338,20448256,1
H2D-Paged,5723.5,0.00349,20972544,1
H2D-Paged,5683.0,0.00361,21496832,1
H2D-Paged,5732.4,0.00366,22021120,1
H2D-Paged,5724.9,0.00376,22545408,1
H2D-Paged,5739.4,0.00383,23069696,1
H2D-Paged,5744.5,0.00392,23593984,1
H2D-Paged,5737.1,0.00401,24118272,1
H2D-Paged,5759.8,0.00408,24642560,1
H2D-Paged,5754.5,0.00417,25166848,1
H2D-Paged,5792.4,0.00423,25691136,1
H2D-Paged,5764.8,0.00434,26215424,1
H2D-Paged,5758.2,0.00443,26739712,1
H2D-Paged,5752.9,0.00452,27264000,1
H2D-Paged,5772.5,0.00459,27788288,1
H2D-Paged,5750.1,0.00470,28312576,1
H2D-Paged,5760.1,0.00477,28836864,1
H2D-Paged,5840.8,0.00479,29361152,1
H2D-Paged,5844.6,0.00488,29885440,1
H2D-Paged,5757.5,0.00504,30409728,1
H2D-Paged,5751.9,0.00513,30934016,1
H2D-Paged,5701.1,0.00526,31458304,1
H2D-Paged,5774.3,0.00528,31982592,1
H2D-Paged,5766.2,0.00538,32506880,1
H2D-Paged,5781.1,0.00545,33031168,1
H2D-Paged,5810.7,0.00551,33555456,1
H2D-Paged,5798.8,0.00560,34079744,1
H2D-Paged,5846.3,0.00564,34604032,1
H2D-Paged,5836.5,0.00574,35128320,1
H2D-Paged,5833.8,0.00583,35652608,1
H2D-Paged,5823.3,0.00592,36176896,1
H2D-Paged,5766.7,0.00607,36701184,1
H2D-Paged,5790.5,0.00613,37225472,1
H2D-Paged,5774.6,0.00623,37749760,1
H2D-Paged,5775.5,0.00632,38274048,1
H2D-Paged,5802.5,0.00638,38798336,1
H2D-Paged,5804.5,0.00646,39322624,1
H2D-Paged,5746.5,0.00661,39846912,1
H2D-Paged,5764.1,0.00668,40371200,1
H2D-Paged,5834.3,0.00668,40895488,1
H2D-Paged,5849.5,0.00675,41419776,1
H2D-Paged,5789.0,0.00691,41944064,1
H2D-Paged,5806.1,0.00698,42468352,1
H2D-Paged,5843.4,0.00702,42992640,1
H2D-Paged,5822.9,0.00713,43516928,1
H2D-Paged,5830.2,0.00720,44041216,1
H2D-Paged,5847.6,0.00727,44565504,1
H2D-Paged,5836.3,0.00737,45089792,1
H2D-Paged,5847.4,0.00744,45614080,1
H2D-Paged,5840.0,0.00753,46138368,1
H2D-Paged,5810.5,0.00766,46662656,1
H2D-Paged,5826.2,0.00772,47186944,1
H2D-Paged,5831.0,0.00780,47711232,1
H2D-Paged,5833.8,0.00789,48235520,1
H2D-Paged,5798.0,0.00802,48759808,1
H2D-Paged,5813.9,0.00808,49284096,1
H2D-Paged,5844.4,0.00813,49808384,1
H2D-Paged,5829.5,0.00823,50332672,1
H2D-Paged,5812.6,0.00834,50856960,1
H2D-Paged,5825.0,0.00841,51381248,1
H2D-Paged,5854.9,0.00845,51905536,1
H2D-Paged,5855.3,0.00854,52429824,1
H2D-Paged,5860.6,0.00862,52954112,1
H2D-Paged,5845.0,0.00873,53478400,1
H2D-Paged,5830.3,0.00883,54002688,1
H2D-Paged,5804.0,0.00896,54526976,1
H2D-Paged,5848.8,0.00898,55051264,1
H2D-Paged,5784.9,0.00916,55575552,1
H2D-Paged,5843.5,0.00916,56099840,1
H2D-Paged,5793.7,0.00932,56624128,1
H2D-Paged,5830.4,0.00935,57148416,1
H2D-Paged,5772.5,0.00953,57672704,1
H2D-Paged,5820.6,0.00954,58196992,1
H2D-Paged,5775.4,0.00970,58721280,1
H2D-Paged,5755.2,0.00982,59245568,1
H2D-Paged,5851.1,0.00974,59769856,1
H2D-Paged,5840.2,0.00985,60294144,1
H2D-Paged,5845.0,0.00992,60818432,1
H2D-Paged,5845.9,0.01001,61342720,1
H2D-Paged,5787.2,0.01020,61867008,1
H2D-Paged,5803.3,0.01025,62391296,1
H2D-Paged,5846.3,0.01026,62915584,1
H2D-Paged,5791.7,0.01045,63439872,1
H2D-Paged,5810.0,0.01050,63964160,1
H2D-Paged,5825.5,0.01056,64488448,1
H2D-Paged,5853.7,0.01059,65012736,1
H2D-Paged,5867.9,0.01065,65537024,1
H2D-Paged,5873.5,0.01073,66061312,1
H2D-Paged,5829.3,0.01089,66585600,1
D2H-Paged,158.7,0.00001,1024,1
D2H-Paged,3607.6,0.00014,525312,1
D2H-Paged,3700.4,0.00027,1049600,1
D2H-Paged,4420.5,0.00034,1573888,1
D2H-Paged,4667.4,0.00043,2098176,1
D2H-Paged,4908.0,0.00051,2622464,1
D2H-Paged,4815.1,0.00062,3146752,1
D2H-Paged,5128.0,0.00068,3671040,1
D2H-Paged,5029.5,0.00080,4195328,1
D2H-Paged,5293.4,0.00085,4719616,1
D2H-Paged,5208.5,0.00096,5243904,1
D2H-Paged,5319.7,0.00103,5768192,1
D2H-Paged,5245.9,0.00114,6292480,1
D2H-Paged,5427.6,0.00120,6816768,1
D2H-Paged,5152.4,0.00136,7341056,1
D2H-Paged,5170.6,0.00145,7865344,1
D2H-Paged,5177.9,0.00155,8389632,1
D2H-Paged,5246.2,0.00162,8913920,1
D2H-Paged,5130.2,0.00175,9438208,1
D2H-Paged,5240.8,0.00181,9962496,1
D2H-Paged,5259.6,0.00190,10486784,1
D2H-Paged,5356.9,0.00196,11011072,1
D2H-Paged,5274.4,0.00209,11535360,1
D2H-Paged,5367.6,0.00214,12059648,1
D2H-Paged,5354.7,0.00224,12583936,1
D2H-Paged,5411.1,0.00231,13108224,1
D2H-Paged,5413.8,0.00240,13632512,1
D2H-Paged,5486.1,0.00246,14156800,1
D2H-Paged,5437.9,0.00257,14681088,1
D2H-Paged,5370.3,0.00270,15205376,1
D2H-Paged,5362.2,0.00280,15729664,1
D2H-Paged,5406.3,0.00287,16253952,1
D2H-Paged,5361.6,0.00298,16778240,1
D2H-Paged,5403.8,0.00305,17302528,1
D2H-Paged,5336.7,0.00319,17826816,1
D2H-Paged,5381.4,0.00325,18351104,1
D2H-Paged,5303.2,0.00339,18875392,1
D2H-Paged,5312.2,0.00348,19399680,1
D2H-Paged,5255.5,0.00362,19923968,1
D2H-Paged,5176.3,0.00377,20448256,1
D2H-Paged,5095.8,0.00393,20972544,1
D2H-Paged,5136.3,0.00399,21496832,1
D2H-Paged,5197.8,0.00404,22021120,1
D2H-Paged,5303.8,0.00405,22545408,1
D2H-Paged,5316.7,0.00414,23069696,1
D2H-Paged,5418.2,0.00415,23593984,1
D2H-Paged,5414.9,0.00425,24118272,1
D2H-Paged,5481.9,0.00429,24642560,1
D2H-Paged,5458.4,0.00440,25166848,1
D2H-Paged,5511.9,0.00445,25691136,1
D2H-Paged,5454.9,0.00458,26215424,1
D2H-Paged,5477.4,0.00466,26739712,1
D2H-Paged,5502.5,0.00473,27264000,1
D2H-Paged,5520.9,0.00480,27788288,1
D2H-Paged,5503.5,0.00491,28312576,1
D2H-Paged,5559.6,0.00495,28836864,1
D2H-Paged,5474.3,0.00511,29361152,1
D2H-Paged,5567.2,0.00512,29885440,1
D2H-Paged,5539.5,0.00524,30409728,1
D2H-Paged,5546.6,0.00532,30934016,1
D2H-Paged,5551.9,0.00540,31458304,1
D2H-Paged,5538.6,0.00551,31982592,1
D2H-Paged,5505.6,0.00563,32506880,1
D2H-Paged,5548.1,0.00568,33031168,1
D2H-Paged,5496.6,0.00582,33555456,1
D2H-Paged,5514.4,0.00589,34079744,1
D2H-Paged,5462.6,0.00604,34604032,1
D2H-Paged,5523.6,0.00607,35128320,1
D2H-Paged,5480.7,0.00620,35652608,1
D2H-Paged,5525.2,0.00624,36176896,1
D2H-Paged,5478.2,0.00639,36701184,1
D2H-Paged,5496.6,0.00646,37225472,1
D2H-Paged,5489.5,0.00656,37749760,1
D2H-Paged,5494.0,0.00664,38274048,1
D2H-Paged,5533.7,0.00669,38798336,1
D2H-Paged,5583.2,0.00672,39322624,1
